match_id,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,wide_runs,noball_runs
138,20,2,R Ashwin,RG Sharma,Jasprit Bumrah,0,0,0,,,0,0
40,18,3,Hardik Pandya,MS Dhoni,Jasprit Bumrah,4,0,4,,,0,0
15,8,1,Mujeeb Ur Rahman,CH Gayle,Rashid Khan,2,0,2,,,0,0
169,6,1,V Kohli,J Buttler,JJ Bumrah,1,0,1,,,0,0
185,9,2,SK Trivedi,SR Tendulkar,Mayank Markande,4,0,4,,,0,0
86,14,3,D Karthik,MS Dhoni,Mayank Markande,2,0,2,,,0,0
117,17,3,SK Raina,E Lewis,Chris Woakes,0,0,0,,,0,0
147,4,2,E Lewis,V Kohli,BA Stokes,4,0,4,,,0,0
94,13,2,KL Rahul,DA Warner,Pat Cummins,1,0,1,,,0,0
58,11,2,Rashid Khan,SR Watson,Mayank Markande,2,0,2,,,0,0
173,2,2,M Pandey,DA Warner,Bhuvneshwar Kumar,4,0,4,,,0,0
80,11,1,Kagiso Rabada,V Kohli,Kagiso Rabada,0,0,0,,,0,0
160,8,4,SK Trivedi,E Lewis,KL Rahul,0,0,0,,,0,0
39,1,4,R Sharma,P Cummins,Pat Cummins,0,0,0,,,0,0
86,1,6,Ishan Kishan,RV Uthappa,SL Malinga,0,0,0,,,0,0
16,5,6,R Ashwin,RG Sharma,BA Stokes,3,0,3,,,0,0
180,12,4,RG Sharma,CH Gayle,Mitchell Starc,4,0,4,,,0,0
146,2,4,SR Tendulkar,J Bumrah,Jasprit Bumrah,0,0,0,,,0,0
180,11,3,Trent Boult,R Ashwin,Sandeep Sharma,1,0,1,,,0,0
150,4,2,AB de Villiers,KL Rahul,Rashid Khan,0,0,0,,,0,0
198,7,4,RV Uthappa,Andre Russell,Mayank Markande,0,0,0,,,0,0
78,20,1,S Dhawan,BB McCullum,SP Narine,0,0,0,,,0,0
132,2,6,RV Uthappa,J Bumrah,DJ Bravo,0,0,0,,,0,0
192,18,2,AB de Villiers,Andre Russell,SL Malinga,4,0,4,AB de Villiers,bowled,0,0
51,13,3,RG Sharma,R Ashwin,R Ashwin,0,0,0,,,0,0
114,5,1,BB McCullum,CH Gayle,BA Stokes,1,0,1,,,0,0
111,13,4,R Sharma,Hardik Pandya,Yuzvendra Chahal,1,0,1,,,0,0
72,15,2,DA Warner,J Bumrah,Jasprit Bumrah,0,0,0,,,0,0
23,9,4,SR Tendulkar,Mujeeb Ur Rahman,KL Rahul,6,0,6,,,0,0
140,1,4,G Maxwell,Shikhar Dhawan,Pat Cummins,6,0,6,,,0,0
83,13,3,KL Rahul,R Sharma,Trent Boult,0,0,0,,,0,0
72,2,4,D Karthik,G Maxwell,Chris Woakes,1,0,1,,,0,0
169,8,3,SK Raina,P Cummins,Chris Woakes,0,0,0,,,0,0
45,6,2,SR Watson,SK Trivedi,Chris Woakes,0,0,0,,,0,0
145,5,5,S Marsh,E Lewis,Pat Cummins,0,0,0,,,0,0
60,20,2,R Sharma,Shikhar Dhawan,JJ Bumrah,1,0,1,,,0,0
88,6,3,SK Raina,R Sharma,SP Narine,1,0,1,,,0,0
135,12,1,SK Trivedi,Rashid Khan,Chris Woakes,0,0,0,,,0,0
41,14,6,Shikhar Dhawan,SR Watson,DJ Bravo,0,0,0,,,0,0
158,12,2,KL Rahul,Hardik Pandya,Jasprit Bumrah,4,0,4,,,0,0
1,19,4,DA Warner,S Marsh,Imran Tahir,0,0,0,,,0,0
164,19,1,Shikhar Dhawan,J Buttler,Trent Boult,0,0,0,,,0,0
43,3,6,BB McCullum,Kagiso Rabada,JJ Bumrah,1,0,1,,,0,0
66,4,6,V Kohli,MS Dhoni,Bhuvneshwar Kumar,6,0,6,,,0,0
106,16,4,G Maxwell,Hardik Pandya,SL Malinga,0,0,0,,,0,0
195,8,2,Trent Boult,MS Dhoni,BA Stokes,1,0,1,,,0,0
19,11,2,Ishan Kishan,KS Williamson,R Ashwin,2,0,2,,,0,0
153,20,4,R Sharma,Trent Boult,DJ Bravo,0,0,0,,,0,0
85,7,2,Rashid Khan,J Bumrah,Jasprit Bumrah,1,0,1,,,0,0
141,16,2,SK Raina,Ishan Kishan,JJ Bumrah,0,0,0,,,0,0
154,16,2,AB de Villiers,R Sharma,KL Rahul,1,0,1,,,0,0
30,10,4,Andre Russell,E Lewis,Mayank Markande,1,0,1,,,0,0
98,12,2,Trent Boult,DA Warner,Mayank Markande,1,0,1,,,0,0
145,2,2,AB de Villiers,RG Sharma,Kagiso Rabada,0,0,0,,,0,0
59,18,1,Ishan Kishan,Mujeeb Ur Rahman,Pat Cummins,4,0,4,,,0,0
61,16,3,RG Sharma,Rashid Khan,BA Stokes,0,0,0,,,0,0
174,20,2,CH Gayle,Kagiso Rabada,DJ Bravo,0,0,0,,,0,0
50,5,1,Mujeeb Ur Rahman,RG Sharma,Yuzvendra Chahal,0,0,0,,,0,0
153,9,3,MS Dhoni,AB de Villiers,Bhuvneshwar Kumar,1,0,1,,,0,0
134,15,1,D Karthik,Rashid Khan,SL Malinga,1,0,1,,,0,0
195,4,1,AB de Villiers,RV Uthappa,Pat Cummins,0,0,0,,,0,0
168,16,5,Andre Russell,DA Warner,DJ Bravo,1,0,1,,,0,0
178,13,1,Hardik Pandya,BB McCullum,Sandeep Sharma,0,0,0,,,0,0
96,1,3,RV Uthappa,SR Watson,Mayank Markande,1,0,1,,,0,0
59,5,3,Trent Boult,SR Watson,Mayank Markande,0,0,0,,,0,0
114,7,4,Shikhar Dhawan,SK Trivedi,BA Stokes,1,0,1,,,0,0
130,13,2,D Karthik,R Sharma,DJ Bravo,0,0,0,,,0,0
64,2,4,SK Raina,Ishan Kishan,KL Rahul,4,0,4,,,0,0
163,4,6,R Sharma,J Bumrah,Kagiso Rabada,0,0,0,,,0,0
122,19,5,G Maxwell,SK Trivedi,DJ Bravo,0,0,0,,,0,0
24,10,1,Ishan Kishan,SK Raina,DJ Bravo,0,0,0,,,0,0
57,8,6,S Dhawan,Yuvraj Singh,Yuzvendra Chahal,4,0,4,,,0,0
175,1,4,SR Tendulkar,S Marsh,Imran Tahir,4,0,4,,,0,0
79,9,4,Ishan Kishan,G Maxwell,Rashid Khan,0,0,0,,,0,0
160,13,5,AB de Villiers,V Kohli,Mitchell Starc,1,0,1,,,0,0
144,20,5,Yuvraj Singh,SR Watson,SL Malinga,3,0,3,,,0,0
84,9,3,RV Uthappa,S Marsh,SP Narine,1,0,1,,,0,0
154,13,6,SR Watson,SR Tendulkar,JJ Bumrah,1,0,1,,,0,0
108,13,4,DA Warner,S Dhawan,Trent Boult,0,0,0,,,0,0
122,12,5,RV Uthappa,KS Williamson,Pat Cummins,0,0,0,,,0,0
67,18,2,BB McCullum,RG Sharma,Sandeep Sharma,4,0,4,,,0,0
85,12,3,Yuvraj Singh,Andre Russell,SL Malinga,4,0,4,,,0,0
159,3,4,S Marsh,D Karthik,SL Malinga,1,0,1,,,0,0
14,5,2,S Marsh,G Maxwell,Yuzvendra Chahal,0,0,0,,,0,0
37,11,6,KL Rahul,RG Sharma,Anrich Nortje,0,0,0,,,0,0
15,1,4,R Ashwin,S Dhawan,DJ Bravo,1,0,1,,,0,0
200,3,2,Mujeeb Ur Rahman,Trent Boult,Bhuvneshwar Kumar,4,0,4,Mujeeb Ur Rahman,caught and bowled,0,0
96,1,3,D Karthik,S Marsh,JJ Bumrah,4,0,4,,,0,0
178,12,3,SR Tendulkar,AB de Villiers,Bhuvneshwar Kumar,2,0,2,,,0,0
12,10,3,Kagiso Rabada,BB McCullum,Yuzvendra Chahal,1,0,1,,,0,0
126,12,2,KS Williamson,Rashid Khan,JJ Bumrah,0,0,0,,,0,0
188,1,5,E Lewis,KS Williamson,SL Malinga,0,0,0,,,0,0
164,9,5,SK Raina,MS Dhoni,SL Malinga,4,0,4,,,0,0
107,15,4,CH Gayle,R Ashwin,Anrich Nortje,1,0,1,,,0,0
3,10,4,AB de Villiers,Yuvraj Singh,Imran Tahir,0,0,0,,,0,0
27,17,6,CH Gayle,RV Uthappa,SL Malinga,0,0,0,,,0,0
200,9,5,S Marsh,SK Trivedi,Yuzvendra Chahal,1,0,1,,,0,0
54,16,3,P Cummins,V Kohli,JJ Bumrah,0,0,0,,,0,0
172,16,2,RG Sharma,D Karthik,R Ashwin,0,0,0,,,0,0
60,15,3,J Bumrah,Andre Russell,BA Stokes,1,0,1,,,0,0
75,12,6,SR Watson,Trent Boult,SL Malinga,1,0,1,,,0,0
36,6,3,G Maxwell,Kagiso Rabada,Imran Tahir,1,0,1,,,0,0
88,6,1,Hardik Pandya,Rashid Khan,Rashid Khan,0,0,0,,,0,0
108,6,1,SR Tendulkar,SK Raina,DJ Bravo,1,0,1,,,0,0
146,15,2,Ishan Kishan,G Maxwell,Imran Tahir,0,0,0,,,0,0
34,16,4,CH Gayle,Mujeeb Ur Rahman,Rashid Khan,0,0,0,,,0,0
181,17,6,M Pandey,G Maxwell,Mitchell Starc,1,0,1,,,0,0
170,8,4,G Maxwell,Hardik Pandya,SP Narine,1,0,1,,,0,0
14,1,6,KS Williamson,D Karthik,Anrich Nortje,4,0,4,,,0,0
126,11,2,BB McCullum,R Ashwin,BA Stokes,1,0,1,,,0,0
61,3,4,Trent Boult,Kagiso Rabada,R Ashwin,1,0,1,,,0,0
128,1,1,Hardik Pandya,Mujeeb Ur Rahman,BA Stokes,0,1,1,,,0,1
155,20,6,RV Uthappa,D Karthik,Pat Cummins,0,0,0,,,0,0
94,2,2,Kagiso Rabada,BB McCullum,Pat Cummins,0,0,0,,,0,0
94,15,1,AB de Villiers,P Cummins,JJ Bumrah,0,0,0,,,0,0
75,18,5,SK Trivedi,AB de Villiers,BA Stokes,6,0,6,,,0,0
191,14,1,J Bumrah,S Marsh,KL Rahul,0,0,0,,,0,0
49,11,1,Rashid Khan,DA Warner,Chris Woakes,4,0,4,,,0,0
151,17,2,Shikhar Dhawan,V Kohli,Mitchell Starc,1,0,1,,,0,0
150,16,5,KL Rahul,S Marsh,SP Narine,2,0,2,,,0,0
83,17,4,Rashid Khan,P Cummins,Mayank Markande,1,0,1,,,0,0
35,5,4,E Lewis,RV Uthappa,Pat Cummins,1,0,1,,,0,0
162,7,2,S Dhawan,RV Uthappa,Kagiso Rabada,1,0,1,,,0,0
46,17,5,SR Watson,CH Gayle,Kagiso Rabada,0,0,0,,,0,0
182,14,6,Yuvraj Singh,Trent Boult,JJ Bumrah,1,0,1,,,0,0
172,2,2,R Ashwin,KS Williamson,Jasprit Bumrah,0,0,0,,,0,0
76,7,5,DA Warner,SK Trivedi,Rashid Khan,0,0,0,,,0,0
58,18,4,P Cummins,D Karthik,Jasprit Bumrah,1,0,1,,,0,0
107,11,5,SK Raina,V Kohli,Mayank Markande,0,0,0,,,0,0
114,8,6,SK Trivedi,S Marsh,KL Rahul,4,0,4,,,0,0
48,6,6,E Lewis,CH Gayle,Bhuvneshwar Kumar,6,0,6,,,0,0
42,19,3,V Kohli,G Maxwell,Rashid Khan,4,0,4,,,0,0
83,20,1,RV Uthappa,E Lewis,Chris Woakes,0,0,0,,,0,0
135,8,2,D Karthik,MS Dhoni,Mitchell Starc,0,0,0,,,0,0
90,8,2,BB McCullum,G Maxwell,Kagiso Rabada,4,0,4,,,0,0
122,18,6,V Kohli,SR Tendulkar,Kagiso Rabada,0,0,0,,,0,0
160,8,1,SR Watson,Hardik Pandya,SL Malinga,6,0,6,,,0,0
133,12,5,E Lewis,Trent Boult,Anrich Nortje,6,0,6,,,0,0
132,3,1,KS Williamson,V Kohli,R Ashwin,4,0,4,,,0,0
176,14,1,S Dhawan,Trent Boult,R Ashwin,0,0,0,,,0,0
85,2,1,MS Dhoni,SK Raina,DJ Bravo,0,0,0,,,0,0
59,9,4,Ishan Kishan,Kagiso Rabada,Bhuvneshwar Kumar,4,0,4,,,0,0
137,1,6,MS Dhoni,DA Warner,R Ashwin,0,0,0,,,0,0
176,10,5,RG Sharma,RV Uthappa,Rashid Khan,0,0,0,,,0,0
41,18,2,SR Tendulkar,Rashid Khan,Pat Cummins,1,0,1,,,0,0
187,12,1,J Buttler,CH Gayle,BA Stokes,4,1,5,,,1,0
22,10,2,G Maxwell,S Dhawan,Yuzvendra Chahal,1,0,1,,,0,0
48,8,5,J Bumrah,S Marsh,SL Malinga,1,0,1,,,0,0
193,18,4,MS Dhoni,RV Uthappa,R Ashwin,0,0,0,,,0,0
85,12,2,P Cummins,AB de Villiers,Jasprit Bumrah,1,0,1,,,0,0
116,11,5,RV Uthappa,J Buttler,Chris Woakes,6,0,6,,,0,0
44,1,3,P Cummins,M Pandey,Yuzvendra Chahal,0,0,0,,,0,0
85,16,4,Trent Boult,G Maxwell,Jasprit Bumrah,1,0,1,,,0,0
21,9,2,S Marsh,R Ashwin,R Ashwin,4,0,4,,,0,0
162,1,5,Hardik Pandya,S Dhawan,BA Stokes,1,0,1,,,0,0
121,5,3,Hardik Pandya,M Pandey,Chris Woakes,1,0,1,,,0,0
131,3,4,SK Trivedi,D Karthik,JJ Bumrah,1,0,1,,,0,0
158,6,5,SR Tendulkar,Kagiso Rabada,DJ Bravo,0,0,0,,,0,0
38,16,3,DA Warner,P Cummins,Anrich Nortje,0,0,0,,,0,0
172,7,5,SK Trivedi,Hardik Pandya,Anrich Nortje,2,0,2,,,0,0
167,11,1,D Karthik,R Ashwin,Mayank Markande,3,0,3,,,0,0
97,12,5,MS Dhoni,R Ashwin,Bhuvneshwar Kumar,4,0,4,,,0,0
89,16,4,V Kohli,D Karthik,SP Narine,4,0,4,,,0,0
72,7,2,KL Rahul,KS Williamson,Kagiso Rabada,1,0,1,,,0,0
107,11,6,CH Gayle,Shikhar Dhawan,Anrich Nortje,1,0,1,,,0,0
106,1,2,DA Warner,J Buttler,Chris Woakes,2,0,2,,,0,0
147,5,1,KS Williamson,R Ashwin,DJ Bravo,1,0,1,,,0,0
164,1,6,Yuvraj Singh,RG Sharma,KL Rahul,1,0,1,,,0,0
44,8,4,J Buttler,S Marsh,Imran Tahir,2,0,2,,,0,0
88,15,5,MS Dhoni,P Cummins,Bhuvneshwar Kumar,4,0,4,,,0,0
130,14,2,AB de Villiers,S Marsh,Anrich Nortje,0,0,0,,,0,0
137,17,1,RG Sharma,Shikhar Dhawan,SP Narine,0,0,0,Shikhar Dhawan,stumped,0,0
108,12,1,D Karthik,Mujeeb Ur Rahman,Sandeep Sharma,0,0,0,,,0,0
90,19,6,AB de Villiers,Trent Boult,SP Narine,1,0,1,,,0,0
22,10,5,Rashid Khan,J Bumrah,KL Rahul,0,1,1,,,1,0
134,4,5,V Kohli,Hardik Pandya,KL Rahul,1,0,1,,,0,0
40,14,6,J Bumrah,R Ashwin,Pat Cummins,1,0,1,,,0,0
175,13,2,Rashid Khan,Shikhar Dhawan,DJ Bravo,0,0,0,,,0,0
79,19,3,Hardik Pandya,SR Tendulkar,SL Malinga,1,0,1,,,0,0
42,4,2,E Lewis,Hardik Pandya,Trent Boult,0,0,0,,,0,0
14,6,4,V Kohli,AB de Villiers,SP Narine,0,0,0,,,0,0
68,8,3,RG Sharma,DA Warner,Bhuvneshwar Kumar,3,0,3,,,0,0
74,20,1,KL Rahul,E Lewis,Rashid Khan,0,1,1,,,1,0
133,10,2,DA Warner,D Karthik,Mitchell Starc,0,0,0,,,0,0
93,8,6,V Kohli,KL Rahul,R Ashwin,1,0,1,,,0,0
102,13,5,S Marsh,V Kohli,R Ashwin,2,0,2,,,0,0
144,19,3,G Maxwell,R Ashwin,Sandeep Sharma,0,0,0,,,0,0
148,1,3,KL Rahul,Mujeeb Ur Rahman,Mitchell Starc,1,0,1,,,0,0
30,17,3,J Bumrah,Kagiso Rabada,Bhuvneshwar Kumar,0,0,0,,,0,0
199,15,6,Kagiso Rabada,R Sharma,Anrich Nortje,0,0,0,,,0,0
57,8,3,Rashid Khan,G Maxwell,Mitchell Starc,1,0,1,,,0,0
74,3,4,BB McCullum,MS Dhoni,Pat Cummins,1,0,1,,,0,0
147,9,2,S Marsh,E Lewis,KL Rahul,1,0,1,,,0,0
59,7,2,G Maxwell,J Buttler,SL Malinga,1,0,1,,,0,0
127,20,1,DA Warner,Shikhar Dhawan,Kagiso Rabada,6,0,6,,,0,0
148,9,4,KL Rahul,D Karthik,Mayank Markande,1,0,1,,,0,0
135,14,4,DA Warner,D Karthik,Kagiso Rabada,0,0,0,,,0,0
31,17,4,SR Watson,V Kohli,JJ Bumrah,2,0,2,,,0,0
93,20,3,KL Rahul,R Ashwin,Sandeep Sharma,0,0,0,,,0,0
48,16,4,S Dhawan,Mujeeb Ur Rahman,Kagiso Rabada,0,0,0,,,0,0
147,5,5,M Pandey,AB de Villiers,Mayank Markande,0,0,0,,,0,0
51,5,6,J Buttler,Shikhar Dhawan,JJ Bumrah,0,0,0,,,0,0
162,17,5,SR Watson,E Lewis,Jasprit Bumrah,6,0,6,,,0,0
26,6,1,S Dhawan,R Ashwin,Anrich Nortje,4,0,4,,,0,0
67,12,3,J Bumrah,SK Trivedi,JJ Bumrah,1,0,1,,,0,0
156,7,5,KL Rahul,RV Uthappa,Kagiso Rabada,0,0,0,,,0,0
115,3,4,Yuvraj Singh,Andre Russell,SP Narine,0,0,0,,,0,0
108,20,5,Hardik Pandya,MS Dhoni,R Ashwin,0,0,0,,,0,0
75,9,5,Hardik Pandya,R Ashwin,Rashid Khan,0,0,0,,,0,0
134,15,4,KS Williamson,S Marsh,JJ Bumrah,1,0,1,,,0,0
191,3,2,KS Williamson,Rashid Khan,SL Malinga,1,0,1,,,0,0
14,1,4,D Karthik,RG Sharma,SL Malinga,1,0,1,,,0,0
100,10,2,P Cummins,RV Uthappa,Rashid Khan,0,0,0,,,0,0
8,2,6,G Maxwell,SR Watson,Anrich Nortje,6,0,6,,,0,0
141,15,2,KL Rahul,Andre Russell,Chris Woakes,1,0,1,,,0,0
89,16,5,M Pandey,RG Sharma,Rashid Khan,1,0,1,,,0,0
3,1,5,SR Tendulkar,SK Trivedi,Jasprit Bumrah,1,1,2,,,0,1
194,16,3,V Kohli,Trent Boult,Jasprit Bumrah,0,0,0,,,0,0
49,14,5,Mujeeb Ur Rahman,Hardik Pandya,Sandeep Sharma,0,0,0,,,0,0
97,8,3,RG Sharma,Trent Boult,Sandeep Sharma,0,0,0,,,0,0
